"","type","street","month","latitude","longitude","ward"
"1","anti-social-behaviour","On or near Pedestrian Subway","2017-11","52.483135","-1.895820","Ladywood"
"2","anti-social-behaviour","On or near Cox Street","2017-11","52.486388","-1.905311","Ladywood"
"3","anti-social-behaviour","On or near Digbeth","2017-11","52.475487","-1.888094","Nechells"
"4","anti-social-behaviour","On or near Shopping Area","2017-11","52.481417","-1.894661","Ladywood"
"5","anti-social-behaviour","On or near Ryland Street","2017-11","52.475349","-1.917996","Ladywood"
"6","anti-social-behaviour","On or near William Street","2017-11","52.473996","-1.912109","Ladywood"
"7","anti-social-behaviour","On or near Printing House Street","2017-11","52.484115","-1.896068","Ladywood"
"8","anti-social-behaviour","On or near Lighthorne Avenue","2017-11","52.480511","-1.920460","Ladywood"
"9","anti-social-behaviour","On or near Arthur Place","2017-11","52.483015","-1.914153","Ladywood"
"10","anti-social-behaviour","On or near Gas Street","2017-11","52.476745","-1.909469","Ladywood"
"11","anti-social-behaviour","On or near Claybrook Street","2017-11","52.473434","-1.895018","Nechells"
"12","anti-social-behaviour","On or near New Meeting Street","2017-11","52.480049","-1.893280","Ladywood"
"13","anti-social-behaviour","On or near Pedestrian Subway","2017-11","52.470481","-1.899780","Ladywood"
"14","anti-social-behaviour","On or near Conference/exhibition Centre","2017-11","52.479343","-1.898111","Ladywood"
"15","anti-social-behaviour","On or near Ludgate Hill","2017-11","52.484131","-1.903740","Ladywood"
"16","anti-social-behaviour","On or near Barwick Street","2017-11","52.482015","-1.899916","Ladywood"
"17","anti-social-behaviour","On or near Navigation Street","2017-11","52.477845","-1.902119","Ladywood"
"18","anti-social-behaviour","On or near Hurst Street","2017-11","52.473615","-1.896181","Nechells"
"19","anti-social-behaviour","On or near Digbeth","2017-11","52.475487","-1.888094","Nechells"
"20","anti-social-behaviour","On or near Parking Area","2017-11","52.479850","-1.891720","Ladywood"
"21","anti-social-behaviour","On or near Inge Street","2017-11","52.474039","-1.897961","Nechells"
"22","anti-social-behaviour","On or near Shopping Area","2017-11","52.480169","-1.896092","Ladywood"
"23","anti-social-behaviour","On or near Pedestrian Subway","2017-11","52.486610","-1.891688","Nechells"
"24","anti-social-behaviour","On or near Shopping Area","2017-11","52.479224","-1.895697","Ladywood"
"25","anti-social-behaviour","On or near Nightclub","2017-11","52.475316","-1.898415","Nechells"
"26","anti-social-behaviour","On or near New Market Street","2017-11","52.482682","-1.902197","Ladywood"
"27","anti-social-behaviour","On or near Shopping Area","2017-11","52.480054","-1.898419","Ladywood"
"28","anti-social-behaviour","On or near Broad Street","2017-11","52.476514","-1.912590","Ladywood"
"29","anti-social-behaviour","On or near Navigation Street","2017-11","52.477845","-1.902119","Ladywood"
"30","anti-social-behaviour","On or near Warstone Lane","2017-11","52.487042","-1.913365","Ladywood"
"31","anti-social-behaviour","On or near Lighthorne Avenue","2017-11","52.480511","-1.920460","Ladywood"
"32","anti-social-behaviour","On or near Shopping Area","2017-11","52.481417","-1.894661","Ladywood"
"33","anti-social-behaviour","On or near Conference/exhibition Centre","2017-11","52.475540","-1.897605","Nechells"
"34","anti-social-behaviour","On or near New Street","2017-11","52.479273","-1.899834","Ladywood"
"35","anti-social-behaviour","On or near Pedestrian Subway","2017-11","52.486823","-1.898815","Aston"
"36","anti-social-behaviour","On or near Shopping Area","2017-11","52.479224","-1.895697","Ladywood"
"37","anti-social-behaviour","On or near Ellen Street","2017-11","52.487505","-1.919534","Soho"
"38","anti-social-behaviour","On or near Livery Street","2017-11","52.485235","-1.902486","Ladywood"
